name,brand,kcal_per_100g,serving_g,per_serving_kcal
"FISHER, HONEY ROASTED PEANUTS","John B. Sanfilippo & Son, Inc.",634,100,634
Tavern Ham and Smoked Gouda,Publix,244,213,519.7
"""""BEEF,GRND,PTY,27/6OZ,FBAB-SM,10#,Z""""","Farmland Foods, Inc.",300,170,510
"PEPPERONI GARLIC BUTTER BLASTED ON A TRADITIONAL CRUST PIZZA, PEPPERONI",Nestle USA Inc.,295,275,811.3
GERMAN CHOC. ICED BROWNIE,MICHELLE'S,372,156,580.3
"CLASSIC SUSHI PLATTER WR, CLASSIC","Genji, Inc.",161,780,1255.8
Baileys Cheesecake,,386.67,150,580
UMAMI BONE BROTH,Lisa Produce,312,240,748.8
"DAN DAN NOODLE BOWL BEYOND MEAT BEEF CRUMBLES TOSSED WITH RAMEN IN A SPICY CHINESE SESAME DRESSING., DAN DAN NOODLE",Cook! SF,228,298,679.4
Vegetarian Pytt i panna,,117,500,585
"PACIFIC COAST CLAM CHOWDER, PACIFIC COAST","Safeway, Inc.",125,425,531.3
MEAL KIT,LOCAL CRATE,232,383,888.6
"Veggie Patty, Wrap",Subway,220,300,660
BASIL PESTO,American Roland Food LLC,624,85,530.4
"Handcrafted Tenders, 5-piece",Popeyes Louisiana Kitchen,336.36,220,740
"Syrups, corn, dark",,286,328,938.1
"TURKEY & CHEDDAR CHEESE SUB, TURKEY & CHEDDAR CHEESE","Taylor Fresh Foods, Inc.",217,244,529.5
LEMON CHICKEN WITH PENNE ALFREDO AND PEAS,HOME CHEF,158,418,660.4
Chick'n Shack,Shake Shack,220,250,550
GREEK HORIATIKI,Dominick's Finer Foods,140,680,952
Hand Made Beef & Potato Jumbo Burrito,Reynaldo's,223,283,631.1
JUMBO FROSTED HONEY BUN,Walgreens Co.,393,135,530.5
Chicken Cipotle Wrap,Lunds & Byerlys,193,326,629.2
Shrimp Fajitas,Chili's Grill & Bar,180,650,1170
Mega Chili Cheese Dog,Dairy Queen,334.8,227,760
LASAGNA WITH MEAT SAUCE,Marie Callender's Retail Foods,123,439,540
Hand-Battered Fish & Chips,Applebee's,226.15,650,1470
"CHOCOLATE CHIP MUFFINS, CHOCOLATE CHIP",Rich Products Corporation,411,141,579.5
Mother of Meat,Screamin' Sicilian Pizza Co.,290,269,780.1
Istrian Fuži with Truffles,,284.09,220,625
Chicken Creole,,125,400,500
Pancake Platter,Burger King,250,200,500
Epic Grilled Chicken Fresh Guacamole Burrito,Del Taco,167.83,429,720
Italian Style Sandwich,Food Unlimited,202,272,549.4
Philly Cheesesteak,Signature,275,193,530.8
ICE CREAM SANDWICHES,SUNSHINE SAMMIES,361,147,530.7
Gourmet Mac & Cheese,First Street,313,227,710.5
Hamburger Helper Deluxe Beef Stroganoff Pasta Meal,GENERAL MILLS SALES INC.,356,201,715.6
PORK & BACON HASH,Hormel Foods Corporation,216,236,509.8
Signature Cake,Dierbergs Kitchen,435,147,639.5
Angus Cheeseburger Sandwich,Fast Bites,295,176,519.2
"Grandcestors, Grandcestral Stuffing",Noble Savage,138,369,509.2
SANDWICH,"Home Fresh Foods, Inc.",255,200,510
"Seeds, sesame seed kernels, dried (decorticated)",,631,150,946.5
Italian-style Chicken Breast Cutlet,Raley's,141,454,640.1
"WHITE CHOCOLATE FINGERS BISCUITS, WHITE CHOCOLATE",Burtons Gold Medal Biscuits,518,100,518
"Rice, cooked with coconut milk",,267,200,534
"MEAT LOVERS PEPPERONI, GENOA SALAMI, ITALIAN SAUSAGE & MOZZARELLA CHEESE WITH SAUCE CALZONE, MEAT LOVERS",Price Chopper Supermarkets,295,227,669.6
"CARRABBA'S ITALIAN GRILL, cheese ravioli with marinara sauce",,156,365,569.4
Belgian Waffle with Whipped Cream and Powdered Sugar,,456.67,150,685
"UNSWEET ORIGINAL ALMONDMILK, UNSWEET ORIGINAL",H E Butt Grocery Company,375,240,900
Wheaties Cereal,GENERAL MILLS SALES INC.,361,159,574
"ORGANIC ELECTRO LYTE DRINK, BLUEBERRY PEACH","Non Acidic Beverages, LLC",178,507,902.5
Pork Belly Skinless 9/11,Seaboard Foods LLC,473,112,529.8
"Beef, oxtails",,257,240,616.8
MINNESOTA ROLL WR,MAI,162,351,568.6
Baobing,,175,400,700
"MILD MACARONI & CHEESE TOPPED WITH ZESTY CHILI SAUCE WITH BEEF AND BEANS, SOUTHWEST STYLE MAC & CHEESE MILD",Nestle Usa-Frozen Food Division,131,396,518.8
"BONELESS FRIED DOUBLE CHICKEN BOWLS, WHITE MEAT CHICKEN PATTIES + MAC & CHEESE SAUCE",Pinnacle Foods Group LLC,179,425,760.8
"BEEF CHUCK BURGERS, BEEF CHUCK","Hickory Foods, Inc.",254,228,579.1
Original Chicken Sandwich,Great Value,286,192,549.1
Cobb Salad with Turkey,,192.5,400,770
"PB MALLOW MANIA PEANUT BUTTER ICE CREAM; PEANUT BUTTER AND MARSHMALLOW SWIRLS; PEANUTS; CHOCOLATY PEANUT BUTTER AND MARSHMALLOW BUNNIES, PB MALLOW MANIA","Wells Enterprises, Inc.",322,180,579.6
BUFFALO-STYLE CHICKEN WRAP,"Ukrop's Homestyle Foods, LLC",170,383,651.1
Honey Nut Chex Cereal,GENERAL MILLS SALES INC.,390,166,647.4
AUTHENTIC ITALIAN SUB,BOAR'S HEAD,213,263,560.2
"Thorntons, 70% Dark Chocolate",Thorntons,567,100,567
CHICKEN POT PIE,FRESH FOODS MARKET,214,248,530.7
UNSWEETENED ALMONDMILK,Smart & Final Iris Corporation,375,240,900
Roast Pork Sandwich with Spinach,,304,250,760
Won Copenhagen Danish Butter Cookies 12oz,Jacobsens Bakery Ltd,514,100,514
Chili Burger,,232,250,580
Pannenkoeken with Banana and Nutella,,162.5,400,650
"192 FLUTED SHELL ROUND NEUTRAL 1.75""",,514,100,514
Deluxe Beef Stroganoff Hamburger Helper Twin Pack,GENERAL MILLS SALES INC.,349,204,712
Neighborhood Burger,Applebee's,313.33,450,1410
MEATLOAF & MASHED POTATOES WITH TOMATO GRAVY MEAL,Bakkavor Foods USA Inc.,209,340,710.6
"ON-THE-GO SNACK BOX WITH PEELED, HARD-COOKED EGG, ALMONDS, GENOA SALAMI & PROVOLONE CHEESE",Target Stores,479,119,570
"96 TRENDY SHELL ROUND CHOCO BUTTER 2.75""",,519,100,519
Zurbian with Beef,,200,350,700
"SESAME GINGER CHICKEN LIGHTLY BREADED WHITE MEAT CHICKEN WITH STEAMED WHITE RICE, BROCCOLI, CARROTS, AND EDAMAME IN A SESAME GINGER SAUCE + VEGETABLE EGG ROLL, SESAME GINGER CHICKEN","Kahiki Foods, Inc.",150,340,510
"GT'S, ORGANIC RAW ENLIGHTENED KOMBUCHA, CITRUS, CITRUS",MILLENNIUM PRODUCTS,375,240,900
"MARSHMALLOW CRISPY BAR ICE CREAM; RICE CRISP AND PEANUT BUTTER SWIRLS; CHOCOLATY RICE CRISP; CHOCOLATY MARSHMALLOW BUNNIES LOAD'D SUNDAES, MARSHMALLOW CRISPY BAR","Wells Enterprises, Inc.",354,161,569.9
Shrimp Carbonara,Olive Garden,266.67,450,1200
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",,145,525,761.3
Bistro Burger,The Cheesecake Factory,391.18,340,1330
Spicy Wisconsin Mac and Cheese,,200,500,1000
Turtle Cheesecake,Peteet's Famous Cheesecakes,395,147,580.6
Big Brunch Steakburger,IHOP,303.13,320,970
"SIMPLY ASIA, THAI KITCHEN, THAI PEANUT RICE NOODLE CART","Simply Asia Foods, Inc.",196,276,541
Boneless Honey BBQ Wings,,320,200,640
DARK CHOCOLATE WITH EXTRA CACAO,MULATE UAB,631,100,631
Breaded Chicken Cutlet Milanese With Penne a La Vodka,Big Y,156,340,530.4
Jumbo White Iced Honey Buns,Krispy Kreme Doughnut Corporation,394,142,559.5
"PECAN ALMOND PIE DRIZZLED WITH CHOCOLATE, PECAN ALMOND","Wal-Mart Stores, Inc.",394,132,520.1
Seafood Platter,,302.86,350,1060
Turkey Ranch & Bacon Sandwich,Arby's,232.56,344,800
Duck Confit Crepe,,183.33,300,550
HARDBOILED EGG & ITALIAN DRY SALAME BISTRO BOARDS SNACKING,Sara Lee Foods,338,151,510.4
My/mo Vanilla Mochi Cashew Cream Frozen Dessert,My/mochi,225,258,580.5
THREE CHEESE BAKED ZITI,"Michael Angelo's Gourmet Foods, Inc",163,312,508.6
ORGANIC DURUM WHEAT SEMOLINA PASTA WITH ORGANIC LENTIL FLOUR,"Kendo Holdings, Inc.",393,140,550.2
"Beef, New Zealand, imported, intermuscular fat, raw",,602,113,680.3
Quinoa Salad with Grilled Shrimp,,125,400,500
"Seeds, sunflower seed kernels, oil roasted, without salt",,592,135,799.2
Lemon Pepper Wings,,250,238,595
Premium Chicken Curry,Harmons,191,283,540.5
CALZONE,"Safeway, Inc.",246,240,590.4
"SCALLION & GINGER GRAIN BOWL, SCALLION & GINGER",Rafael Padilla & Cia S. En C.,163,326,531.4
BLT,Five Guys,400,150,600
Chocolate Chocolate Chip Pancakes,IHOP,329.17,240,790
ARTISAN SANDWICH,"Taylor Fresh Foods, Inc.",214,234,500.8
TUNA WRAP,ROCHE BROS.,198,283,560.3
Garlicky Chicken Shawarma Bowl,Cava,150,400,600
"Lasagna Classico, Lunch",Olive Garden,166.67,300,500
Carneada,,210,350,735
Skillet Queso,Chili's Grill & Bar,408.57,350,1430
"BERTOLLI Italian Sausage Pie, 40 OZ",Conagra Brands,251,283,710.3
Pollo Asado Salad,Chipotle Mexican Grill,188.75,400,755
"Egg sandwich on biscuit, with sausage and cheese",,316,190,600.4
Satay Kambing (Lamb Satay),,144.17,360,519
"MEATBALL RIGATONI WITH TOMATO & SPINACH CREAM SAUCE STARTER KIT, TOMATO & SPINACH CREAM SAUCE","Presto Chango Decor,inc.",240,221,530.4
"TRUFFLE TORTE, TRUFFLE",Lunds Inc,442,181,800
Bloomin’ Fried Chicken,Outback Steakhouse,427.31,227,970
"DELUXE ROAST BEEF PINWHEELS, DELUXE ROAST BEEF","Renaissance Food Group, LLC",205,283,580.1
BLOODY MARY MIXER,"The Skinny Cocktail Company, LLC",875,120,1050
Classic Tostada Salad,El Pollo Loco,168.36,493,830
"SWEET & SMOKEY SALMON WITH BROCCOLI FLORETS, RICE & BUTTER, BROCCOLI FLORETS, RICE & BUTTER","Schnuck Markets, Inc.",172,326,560.7
"Salad dressing, NFS, for sandwiches",,594,237,1407.8
"#9 Italian Night Club®, Unwich",Jimmy John's,408.45,142,580
"BIBIMBAP WITH QUICK-PICKLED CARROTS, SESAME SAUCE & JASMINE RICE STARTER KIT, BIBIMBAP","Presto Chango Decor,inc.",154,468,720.7
Tuna Helper Tuna Fettuccine Alfredo,GENERAL MILLS SALES INC.,360,189,680.4
4x6 Whole Wheat Stuffed Crust Cheese Pizza Individually Boxed Pizza Topped with Tomato Sauce and Mozzarella Cheese,Nardone Brothers Baking Co.  Inc.,344,148.8,511.9
CHICKEN PAD THAI,"Kahiki Foods, Inc.",150,340,510
Caprese Panini,,225.53,235,530
Annie's Organic Cheddar Snack Mix,GENERAL MILLS SALES INC.,506,100,506
THREE MEAT & FOUR CHEESE LASAGNA,Marie Callender's Retail Foods,120,440,528
"Sweet & Spicy Chicken Habanero Sandwich, Full Sandwich",Domino's Pizza,288.89,270,780
"Marketside, Heavenly Chocolate",Marketside,342,231,790
"KFC, Fried Chicken, EXTRA CRISPY, Breast, meat and skin with breading",,268,212,568.2
PESTO CHICKEN,"Taylor Fresh Foods, Inc.",254,264,670.6
THRR MEAT PIZZA,"Frozen Specialties, Inc.",250,204,510
"CARROT GINGER ORGANIC APPLE CIDER VINEGAR PREBIOTIC SHOT, CARROT GINGER",Live Food Products Inc.,1000,60,600
"Homestyle Mac & Cheese, Large",Popeyes Louisiana Kitchen,226.7,397,900
Apple Cobbler,,220,230,506
"Chicken Wrap, Buffalo Style",Taylor Farms,221,276,610
"EGG, UNCURED BACON & CHEESE BURRITO, EGG, UNCURED BACON & CHEESE","B. Robert's Foods, Inc.",278,227,631.1
MUSHROOM CAVATELLI,PLATED.,212,411,871.3
VANILLA CREME FILLED CAKES,"Flowers Foods, Inc.",391,128,500.5
Spicy Green Goddess Bowl,Sweetgreen,112,500,560
Buttermilk Biscuit and Gravy Combo,IHOP,256.36,550,1410
"#9 Italian Night Club®, Regular",Jimmy John's,332.14,280,930
"Choco Brownie Extreme Blizzard, Small",Dairy Queen,217.65,340,740
Tacu Tacu,,177.14,350,620
Double Cheeseburger Macaroni Hamburger Helper,GENERAL MILLS SALES INC.,354,173,612.4
"EASTERN, SESAME BALL",MODI CAKES AND CONFECTIONARY PVT LTD.,627,100,627
"BONELESS PORK RIB SHAPED PATTY WITH OUR SWEET & SMOKY BBQ SAUCE AND HOMESTYLE MASHED POTATOES, PORK RIB","Overhill Farms, Inc.",146,397,579.6
"DARK CHOCOLATE WITH A SMOOTH MINT FILLING STRAWS, DARK CHOCOLATE WITH A SMOOTH MINT FILLING",AFTER EIGHT,527,100,527
Chicken & Eggs,Waffle House,157.89,380,600
"BERTOLLI, CLASSIC SHRIMP SCAMPI & LINGUINE","Mizkan Americas, Inc.",150,340,510
Rice Chex Gluten Free Breakfast Cereal,GENERAL MILLS SALES INC.,390,163,635.7
"MAC & CHEESE BOWL PASTA SMOTHERED IN A SMOOTH & CREAMY VERMONT WHITE CHEDDAR CHEESE SAUCE, MAC & CHEESE",Marie Callender's Retail Foods,154,369,568.3
Funnel cake with sugar and fruit,,380,135,513
"BLACK FOREST HAM & BABY SWISS CHEESE, WHITE FRENCH BREAD FULL SUB, BLACK FOREST HAM & BABY SWISS","Wal-Mart Stores, Inc.",191,397,758.3
JUMBO HONEY BUN,"Flowers Foods, Inc.",415,142,589.3
"MATE GINGER ENERGY & FOCUS ADAPTOGENIC HERBAL TONIC, MATE GINGER",Shine Community LLC,583,180,1049.4
"Little Debbie, Mini Donuts",Little Debbie,475,122,579.5
Byrek Me Spinaq,,350,200,700
Italian Beef Stuffed Pizza,,251.84,272,685
Pad Thai with Chicken,,160.26,312,500
Cheesy Ranch Burger Hamb Help,GENERAL MILLS SALES INC.,351,191,670.4
Pizza,Twin Dolphin Games Inc.,277,184,509.7
Pecan Pie,Country Baker,448,125,560
Godiva Chocolate Cheesecake,The Cheesecake Factory,666.67,210,1400
Cheesy Italian Shells Hamburger Helper,GENERAL MILLS SALES INC.,350,224,784
"PEANUT BUTTER CREAM PIE, PEANUT BUTTER CREAM","Conagra Brands, Inc.",470,117,549.9
"TURKEY HAVARTI WHEAT WRAP, TURKEY HAVARTI WHEAT",Russ Davis Wholesale,260,204,530.4
"Marie Callender's Frozen Dinner, Sweet & Sour Chicken, 14 Ounce, 14 OZ",Conagra Brands,126,397,500.2
Ghuzi with Lamb,,150,500,750
"ROCKY ROAD CHOCOLATE ICE CREAM; FUDGE AND MARSHMALLOW SWIRLS; CHOCOLATY ALMONDS; MARSHMALLOW BITS; CHOCOLATY MARSHMALLOW BUNNIES, ROCKY ROAD","Wells Enterprises, Inc.",283,180,509.4
"Bertolli, Italian Sausage & Rigatoni Classic Meal",Ragu,150,340,510
"SWEET & SMOKY PORK GRILLED CHEESE, SWEET & SMOKY PORK",Heinz Frozen Food Company,248,206,510.9
DELUXE ROAST BEEF,BOAR'S HEAD,197,269,529.9
Southwest Style Salad With Chicken,Good & Gather,158,354,559.3
Bowl Fulls Blackened Chicken Alfredo,Nestlé,146,396,578.2
Jumbo Honey Bun,Nature's Own,415,142,589.3
Signature Kenzie's Kakes,Dierbergs Kitchen,481,158,760
"Artisan Style Chipotle Brioche Bread, Spicy Chicken",Market Sandwich,221,235,519.4
Chicken Souvlaki,,149.43,350,523
"BREAKFAST STACKER KAISER, BREAKFAST STACKER","Sun Company, Inc. (R&M)",354,263,931
"FRIED RICE, YAKITORI CHICKEN","Ajinomoto Foods North America, Inc.",170,312,530.4
Crispy Falafel Pita,Cava,337.5,280,945
GIANT GUMMY BEAR,Novelty Specialties,343,350,1200.5
"GRANOLA BLUEBERRY PECAN MIX, BLUEBERRY PECAN",Milk and Honey Granola,2750,28,770
ITALIAN SANDWICH,"The Higher Taste, Ltd.",249,297,739.5
"DYNAMITE PENNE WITH MEATBALLS (MADE WITH CHICKEN, PORK, AND BEEF) AND SPICY CREAMY TOMATO SAUCE LAYERED OVER PENNE PASTA, TOPPED WITH MOZZARELLA CHEESE MEGA BOWLS, DYNAMITE PENNE WITH MEATBALLS",Conagra Frozen Foods,149,396,590
Chocolate Overload Cake,David’s Cookies,405,210,850.5
Pad Thai with Tofu,,167.5,400,670
"BACON DOUBLE CHEESEBURGER CHOPPED BEEF PATTIES WITH AMERICAN CHEESE & BACON ON A SESAME SEED BUN SANDWICHES, BACON DOUBLE CHEESEBURGER","Wal-Mart Stores, Inc.",301,256,770.6
Steak Fajitas,,200,400,800
"CHICKEN BACON CHEDDAR WRAP, CHICKEN BACON CHEDDAR",Speedway LLC,238,239,568.8
Peri-Peri Chicken,,155.43,460,715
MUFFIN,OVEN DELIGHTS,400,130,520
"CARAMEL SEA SALT BROWN SUGAR CAKE, CARAMEL SEA SALT","Safeway, Inc.",364,140,509.6
HAND MADE BEAN & CHEESE JUMBO BURRITO,REYNALDO'S,247,283,699
"Rice, white, medium-grain, raw, enriched",,360,195,702
Phoenix Roll,,229.07,227,520
"CLASSIC SUSHI PLATTER QBR, CLASSIC","Genji, Inc.",136,780,1060.8
"ORGANIC RICE & QUINOA QUARTET GRAIN SALAD WITH PESTO, SUN DRIED TOMATOES AND GREEN BEANS",Kohl Corporation,197,284,559.5
MILLED EGUSI,Praise Export Serv. Ltd.,560,100,560
Pörkölt with Beef,,157.14,350,550
POT PIE,Marie Callender's Retail Foods,205,283,580.1
Whole Wheat French Bread Cheese Pizza,Nardone Brothers Baking Co.  Inc.,333,155.9,519.1
Teriyaki Chicken Pizza,,465,200,930
Garlic Parm Chicken Bites,Outback Steakhouse,352.42,227,800
"HANDMADE ICE CREAM SANDWICH, PEANUT BUTTER CHOCOLATE CHIP",Thelma's LLC,358,159,569.2
Golden Grahams Cereal,GENERAL MILLS SALES INC.,400,163,652
"MARIE CALLENDERS Ham Egg Cheese, 10 OZ",Conagra Brands,261,283,738.6
"FOUR CHEESE PIZZA DIPPING STRIPS, FOUR CHEESE",Nestle USA Inc.,242,269,651
RAW SHELLED PEANUTS,"Walong Marketing, Inc.",618,85,525.3
"Meal Mart, Turkey Pot Pie",Meal Mart,255,255,650.3
Pasta Nostra Spinach & Ricotta Lasagne With Creamy Spinach Bechamel 350g,PASTA NOSTRA LIMITED,149,350,521.5
"SPICY SHRIMP ROLL, SPICY SHRIMP",K-9 Tag Company,527,260,1370.2
"Double-Glazed Baby Back Ribs, Full Rack",Applebee's,277.53,454,1260
Cheese Nachos,,256,250,640
Triple Cheeseburger,,290,400,1160
CHOCOLATE PIE MADE WITH REAL COCOA,"Hostess Brands, LLC",398,128,509.4
"Heath Blizzard, Small",Dairy Queen,188.24,340,640
"Mothbeans, mature seeds, raw",,343,196,672.3
Alligator Bites,,546.67,150,820
Cinnamon Chex Cereal,GENERAL MILLS SALES INC.,430,163,700.9
Moroccan Turkey Wrap,Cumberland Farms,205,370,758.5
BERRY SCONE,Flying Apron LLC,383,193,739.2
Kids Cheeseburger,Applebee's,380,150,570
Pyrizhky with Mushrooms and Rice,,101.82,550,560
Hand-tossed Style Bbq Chicken Pizza,Digiorno,269,234,629.5
Cajun Pasta with Chicken,,236,500,1180
BREAKFAST HANDHELD AUSSIE PIES,"Boomerang's Foods, Inc.",272,184,500.5
Couscous with Seven Vegetables,,154.29,350,540
"CHICKEN BACON RANCH PASTA MEDIUM TENDER WHITE MEAT CHICKEN, BACON & PASTA IN A SPICY RANCH CREAM SAUCE, CHICKEN BACON RANCH, MEDIUM",Nestle Usa-Frozen Food Division,154,396,609.8
"CRAB CAKE MEAL COMPLETE MEAL KIT, CRAB CAKE MEAL",Shaw's Southern Belle Frozen Foods,203,369,749.1
"BLACK FOREST HAM SANDWICH, BLACK FOREST","Taylor Fresh Foods, Inc.",205,244,500.2
LASAGNA WITH ITALIAN SAUSAGE,"Renaissance Food Group, LLC",226,283,639.6
"MEIJER, PECAN PIE","Meijer, Inc.",459,109,500.3
Salad,Renaissance Food Group,154,369,568.3
Meat Lover's Melt,Pizza Hut,333.33,330,1100
Massaman Curry Sauce With Chicken,H-E-B,154,350,539
"Pasta with cream sauce, meat, and added vegetables, restaurant",,203,250,507.5
Cas Frm Orgnc Fruitful O's Crl,GENERAL MILLS SALES INC.,400,160,640
"SPICY SZECHUAN-STYLE TURKEY MEATBALLS WITH SESAME GREEN BEANS, SPICY SZECHUAN-STYLE WITH SESAME GREEN BEANS",Relish Labs LLC,135,415,560.3
"HAM & SWISS WITH SMOKED HAM, SWISS CHEESE & HONEY MUSTARD ON A PRETZEL BUN SANDWICH, HAM & SWISS",Target Stores,233,227,528.9
Popara,,171.43,350,600
PIZZA,PALERMO'S PIZZA,247,279,689.1
"Pie, peanut butter cream",,421,150,631.5
Cajun Pasta with Chicken,Chili's Grill & Bar,203.64,550,1120
FABULOUS FRIES,"Great American Foods, Inc.",1978,28,553.8
CKY CHILI,CAMPBELL SOUP COMPANY,104,539,560.6
Hash Brown Scramble Burrito with Sausage,Chick-fil-A,259.12,274,710
"COUNTRY FRIED CHICKEN BREAST TENDERS BREADED TENDER-SHAPED CHICKEN BREAST PATTIES SERVED WITH MACARONI AND CHEESE, COUNTRY FRIED CHICKEN BREAST TENDERS",Marie Callender's Retail Foods,169,349,589.8
CARNITAS BIG BURRITO,"Boulder Brands USA, Inc.",195,298,581.1
