rule;source;id;brand;name
rule14_branded_negligible;usda;29121;Wegmans Food Markets, Inc.;Original Taco Sauce
rule14_branded_negligible;usda;41384;Conagra Brands;Reddi-wip Fat Free Whipped Dairy Cream Topping, 6.5 oz.
rule14_branded_negligible;usda;44480;Mondelez Int. US (0074819091009);Trident Gum Bubblegum Sugar Free1x14 Pc
rule14_branded_negligible;usda;44491;PepsiCo;Diet Mtn Dew Soda (6 - 24 Fluid Ounce) 144 Fluid Ounce 6 Pack Plastic Bottles
rule14_branded_negligible;usda;44492;Mondelez Int. US (0074819091009);Trident Gum Island Berry Lime 1x15 Pk
rule14_branded_negligible;usda;44516;Mondelez Int. US (0074819091009);Trident Gum Mint Bliss Sugar Free1x14 Pc
rule14_branded_negligible;usda;44532;PepsiCo;Diet Pepsi Cola 16 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;44573;Mondelez Int. US (0074819091009);Trident Gum Assorted Sugar Free1x15.000 Pk
rule14_branded_negligible;usda;44617;PepsiCo;Diet Pepsi Wild Cherry 2 Liter Plastic Bottle
rule14_branded_negligible;usda;44679;Mondelez Int. US (0074819091009);Trident Vibes Gum Lemon 1x40 Pc
rule14_branded_negligible;usda;44684;PepsiCo;Diet Pepsi Cola (8 - 12 Fluid Ounce) 96 Fluid Ounce 8 Pack Plastic Bottles
rule14_branded_negligible;usda;44690;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist Sugar Free1x14 Pc
rule14_branded_negligible;usda;44721;Mondelez Int. US (0074819091009);Trident Gum Island Berry Lime Sugar Free1x18 Pc
rule14_branded_negligible;usda;44723;Mondelez Int. US (0074819091009);Trident Gum Blueberry Twist Sugar Free1x14 Pc
rule14_branded_negligible;usda;44792;Mondelez Int. US (0074819091009);Trident Layers Gum 1x14 Pc
rule14_branded_negligible;usda;44794;Mondelez Int. US (0074819091009);Trident Gum Peppermint 1x18 Pc
rule14_branded_negligible;usda;44808;Mondelez Int. US (0074819091009);Trident Gum Watermelon 1x14.000 Pk
rule14_branded_negligible;usda;44874;PepsiCo;Diet Mtn Dew Soda 12 Fluid Ounce Aluminum Can
rule14_branded_negligible;usda;44878;Mondelez Int. US (0074819091009);Trident Gum Watermelon Twist Sugar Free1x3 Pk
rule14_branded_negligible;usda;44887;Mondelez Int. US (0074819091009);Stride Gum Winterblue Sugar Free1x14 Pc
rule14_branded_negligible;usda;44903;Mondelez Int. US (0074819091009);Trident Gum Cinnamon Sugar Free1x14 Pc
rule14_branded_negligible;usda;44933;PepsiCo;Pepsi Zero Sugar Cola 20 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;45014;Mondelez Int. US (0074819091009);Trident Gum Cinnamon Bonus1x14 Pk
rule14_branded_negligible;usda;45020;Qtg;Propel  Zero Calories Blueberry Pomegranate Flavored Water 24 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;45023;Mondelez Int. US (0074819091009);Stride Gum Peppermint Sugar Free1x14 Pc
rule14_branded_negligible;usda;45050;Mondelez Int. US (0074819091009);Stride Sour Patch Kids Gum Blue Raspberry 1x14 Pc
rule14_branded_negligible;usda;45057;Mondelez Int. US (0074819091009);Trident Gum Splashing Fruit Sugar Free1x18 1n
rule14_branded_negligible;usda;45060;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist 1x14 Pk
rule14_branded_negligible;usda;45067;Mondelez Int. US (0074819091009);Trident Gum Island Berry Lime Sugar Free1x14 Pc
rule14_branded_negligible;usda;45169;Mondelez Int. US (0074819091009);Trident Gum Minty Sweet Twist Sugar Free1x18 Pc
rule14_branded_negligible;usda;45174;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist 1x15 Pk
rule14_branded_negligible;usda;45187;Mondelez Int. US (0074819091009);Trident Gum Spearmint Sugar Free1x3 Pk
rule14_branded_negligible;usda;45192;Mondelez Int. US (0074819091009);Trident Vibes Gum Tropical 1x40 Pc
rule14_branded_negligible;usda;45213;Mondelez Int. US (0074819091009);Trident Gum Watermelon Twist 1x15 Pk
rule14_branded_negligible;usda;45237;PepsiCo;Diet Sierra Mist Cranberry Splash Caffeine Free Soda 2 Liter Plastic Bottle-IA
rule14_branded_negligible;usda;45286;Mondelez Int. US (0074819091009);Trident Gum Original Sugar Free1x3 Pk
rule14_branded_negligible;usda;45290;PepsiCo;Diet Pepsi Cola (6 - 16.9 Fluid Ounce) 101.4 Fluid Ounce 6 Pack Plastic Bottles
rule14_branded_negligible;usda;45331;Mondelez Int. US (0074819091009);Dentyne Classic Gum Cinnamon Sugar Free1x18 Pc
rule14_branded_negligible;usda;45349;PepsiCo;Diet Pepsi Cola 2 Liter Plastic Bottle
rule14_branded_negligible;usda;45356;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist Sugar Free1x18 Pc
rule14_branded_negligible;usda;45361;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist 1x50 Pc
rule14_branded_negligible;usda;45381;Mondelez Int. US (0074819091009);Stride Sour Patch Kids Gum Watermelon 1x3 Pk
rule14_branded_negligible;usda;45414;Mondelez Int. US (0074819091009);Trident Gum Assorted Mint Sugar Free1x20 Pk
rule14_branded_negligible;usda;45456;Mondelez Int. US (0074819091009);Trident Gum Cinnamon 1x15 Pk
rule14_branded_negligible;usda;45508;Mondelez Int. US (0074819091009);Trident Gum Original 1x50 Pc
rule14_branded_negligible;usda;45523;Qtg;Propel Black Cherry Flavored Water Beverage 24 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;45540;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x14 Pk
rule14_branded_negligible;usda;45567;Mondelez Int. US (0074819091009);Trident Gum Wild Strawberry/Tangy Citrus 1x10 Pk
rule14_branded_negligible;usda;45592;PepsiCo;Diet Pepsi Wild Cherry (6-24z) 96 Fluid Ounce Plastic Bottles
rule14_branded_negligible;usda;45595;Mondelez Int. US (0074819091009);Trident Gum Original 1x30.000 Pc
rule14_branded_negligible;usda;45635;PepsiCo;Diet Pepsi Wild Cherry Cola 20 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;45661;Mondelez Int. US (0074819091009);Trident Gum Original Sugar Free1x18 Pc
rule14_branded_negligible;usda;45668;Mondelez Int. US (0074819091009);Trident Gum Spearmint Sugar Free1x14 Pc
rule14_branded_negligible;usda;45677;Mondelez Int. US (0074819091009);Trident Gum Assorted Fruit Sugar Free1x20 Pk
rule14_branded_negligible;usda;45698;Mondelez Int. US (0074819091009);Trident Gum Strawberry Twist Sugar Free1x14.000 Pc
rule14_branded_negligible;usda;45699;PepsiCo;Diet Pepsi Cola 12 Fluid Ounce Aluminum Can
rule14_branded_negligible;usda;45742;Qtg;Propel Kiwi Strawberry Flavored Water Beverage 24 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;45770;Mondelez Int. US (0074819091009);Trident Gum Bubblegum 1x14 Pk
rule14_branded_negligible;usda;45817;Rockstar Inc.;Rockstar Pure Zero Silver Ice Energy Drink 16 Fluid Ounce Aluminum Can
rule14_branded_negligible;usda;45818;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist Sugar Free1x3 Pk
rule14_branded_negligible;usda;45821;PepsiCo;Pepsi Zero Sugar Cola 12 Fluid Ounce Aluminum Can
rule14_branded_negligible;usda;45825;Mondelez Int. US (0074819091009);Trident Gum Black Raspberry Twist Sugar Free1x18 Pc
rule14_branded_negligible;usda;45875;Qtg;Propel Mandarin Orange Water Beverage 24 Fluid Ounce Bottle
rule14_branded_negligible;usda;45895;PepsiCo;Diet Pepsi Caffeine Free Cola 2 Liter Plastic Bottle
rule14_branded_negligible;usda;45896;Mondelez Int. US (0074819091009);Stride Gum Melopeach Sugar Free1x14 Pc
rule14_branded_negligible;usda;45915;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x50 Pc
rule14_branded_negligible;usda;45936;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x50 Pc
rule14_branded_negligible;usda;45972;Mondelez Int. US (0074819091009);Trident Gum Wintergreen Sugar Free1x14 Pc
rule14_branded_negligible;usda;45995;PepsiCo;Diet Pepsi Soda (24-16.9 Fl Oz) 405.6 Fluid Ounce 24 Pack Plastic Bottles
rule14_branded_negligible;usda;46063;Mondelez Int. US (0074819091009);Trident Gum Passion Fruit Sugar Free1x14 Pc
rule14_branded_negligible;usda;46070;Mondelez Int. US (0074819091009);Trident Gum Cinnamon Sugar Free1x18 Pc
rule14_branded_negligible;usda;46083;Mondelez Int. US (0074819091009);Trident Gum Bubblegum Sugar Free1x3 Pk
rule14_branded_negligible;usda;46100;Mondelez Int. US (0074819091009);Stride Gum Icymint Sugar Free1x3.000 Pk
rule14_branded_negligible;usda;46103;Rockstar Inc.;Rockstar Pure Zero Punch 16z Cn
rule14_branded_negligible;usda;46130;Mondelez Int. US (0074819091009);Trident Gum Cinnamon Sugar Free1x3 Pk
rule14_branded_negligible;usda;46150;Mondelez Int. US (0074819091009);Trident Gum Peppermint Sugar Free1x14 Pc
rule14_branded_negligible;usda;46155;Mondelez Int. US (0074819091009);Trident Gum Strawberry Twist Sugar Free1x18 Pc
rule14_branded_negligible;usda;46162;Mondelez Int. US (0074819091009);Trident Layers Gum Wild Strawberry/Tangy Citrus Sugar Free1x14 Pc
rule14_branded_negligible;usda;46182;Mondelez Int. US (0074819091009);Stride Sour Patch Kids Gum Sour Patch Kids Lime1x14.000 Pc
rule14_branded_negligible;usda;46201;Beaver Street Fisheries, Inc.;Clam Juice
rule14_branded_negligible;usda;46233;PepsiCo;Pepsi Zero Sugar Cola 7.5 Fluid Ounce Aluminum Can
rule14_branded_negligible;usda;46288;Mondelez Int. US (0074819091009);Trident Gum Tropical Watermelon Sugar Free1x36.000 Pc
rule14_branded_negligible;usda;46315;PepsiCo;Diet Pepsi Cola (6 - 24 Fluid Ounce) 144 Fluid Ounce 6 Pack Plastic bottles
rule14_branded_negligible;usda;46330;Mondelez Int. US (0074819091009);Stride Sour Patch Kids Gum Sour Patch Kids Redberry1x3 Pk
rule14_branded_negligible;usda;46337;Mondelez Int. US (0074819091009);Trident Gum Watermelon And Tropical Fruit 1x3 Pk
rule14_branded_negligible;usda;46347;Mondelez Int. US (0074819091009);Trident Gum Mint Sweet Twist Sugar Free1x14 Pc
rule14_branded_negligible;usda;46383;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist 1x90 Pc
rule14_branded_negligible;usda;46404;Mondelez Int. US (0074819091009);Trident Gum Island Berry Lime 1x3.000 Pk
rule14_branded_negligible;usda;46437;Mondelez Int. US (0074819091009);Stride Gum Lemonberry Sugar Free1x14 Pc
rule14_branded_negligible;usda;46442;Mondelez Int. US (0074819091009);Trident Gum Watermelon 1x50 Pc
rule14_branded_negligible;usda;46482;Mondelez Int. US (0074819091009);Trident Gum Mint Bliss Sugar Free1x3.000 Pk
rule14_branded_negligible;usda;46502;Mondelez Int. US (0074819091009);Trident Layers Gum Wild Strawberry/Tangy Citrus Sugar Free1x3 Pk
rule14_branded_negligible;usda;46508;Mondelez Int. US (0074819091009);Stride Gum Peppermint Sugar Free1x3.000 Pk
rule14_branded_negligible;usda;46522;PepsiCo;Diet Pepsi Wild Cherry 12 Fluid Ounce Aluminum Can
rule14_branded_negligible;usda;46565;Mondelez Int. US (0074819091009);Trident Gum Original 1x14 Pk
rule14_branded_negligible;usda;46589;Mondelez Int. US (0074819091009);Trident Gum Cinnamon 1x50 Pc
rule14_branded_negligible;usda;46592;Mondelez Int. US (0074819091009);Stride Sour Patch Kids Gum Sour Patch Kids Redberry1x14 Pc
rule14_branded_negligible;usda;46612;Qtg;Gatorade Gatorlytes Endurance Electrolyte Powder Blend (20-0.12 Ounce) 2.4 Ounces 20 Pack Plastic Pouches
rule14_branded_negligible;usda;46613;Mondelez Int. US (0074819091009);Trident Gum Pineapple Twist Sugar Free1x14.000 Pc
rule14_branded_negligible;usda;46650;Mondelez Int. US (0074819091009);Trident Gum Peppermint Sugar Free1x14 Pc
rule14_branded_negligible;usda;46693;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x90.000 Pc
rule14_branded_negligible;usda;46703;Qtg;Propel Cranberry Lime Water Beverage 24 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;46707;PepsiCo;Diet Sierra Mist 12 Fluid Ounce Aluminum Can-IA
rule14_branded_negligible;usda;46719;Mondelez Int. US (0074819091009);Trident Gum Bubblegum Sugar Free1x3 Pk
rule14_branded_negligible;usda;46724;Mondelez Int. US (0074819091009);Trident Gum Spearmint Sugar Free1x3 Pk
rule14_branded_negligible;usda;46756;Mondelez Int. US (0074819091009);Trident Gum Minty Sweet Twist Sugar Free1x3 Pk
rule14_branded_negligible;usda;46757;PepsiCo;Diet Pepsi Cola 20 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;46825;Mondelez Int. US (0074819091009);Trident Gum Original 1x90.000 Pc
rule14_branded_negligible;usda;46832;Mondelez Int. US (0074819091009);Trident Layers Gum Green Apple/Golden Pineapple Sugar Free1x14 Pc
rule14_branded_negligible;usda;46845;Mondelez Int. US (0074819091009);Stride Gum Icymint Sugar Free1x14 Pc
rule14_branded_negligible;usda;46875;Mondelez Int. US (0074819091009);Trident Gum Black Raspberry Twist Sugar Free1x14 Pc
rule14_branded_negligible;usda;46888;Mondelez Int. US (0074819091009);Stride Sour Patch Kids Gum Watermelon 1x14 Pc
rule14_branded_negligible;usda;46901;Mondelez Int. US (0074819091009);Trident Gum Watermelon Twist Sugar Free18x18 Pc
rule14_branded_negligible;usda;46909;Mondelez Int. US (0074819091009);Trident Gum Wintergreen Sugar Free1x18.000 Pc
rule14_branded_negligible;usda;46915;Mondelez Int. US (0074819091009);Trident Gum Peppermint 1x40 Pc
rule14_branded_negligible;usda;47015;Mondelez Int. US (0074819091009);Trident Gum Watermelon Twist Sugar Free1x14 Pc
rule14_branded_negligible;usda;47128;Mondelez Int. US (0074819091009);Trident Gum Original 1x15 Pk
rule14_branded_negligible;usda;47154;Mondelez Int. US (0074819091009);Stride Gum Spearmint Sugar Free1x3 Pk
rule14_branded_negligible;usda;47204;Mondelez Int. US (0074819091009);Trident Gum Cinnamon Sugar Free1x3 Pk
rule14_branded_negligible;usda;47205;Mondelez Int. US (0074819091009);Trident Gum Minty Sweet Twist Sugar Free1x3 Pk
rule14_branded_negligible;usda;47237;Mondelez Int. US (0074819091009);Trident Gum Spearmint Sugar Free1x18 Pc
rule14_branded_negligible;usda;47245;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x14 Pc
rule14_branded_negligible;usda;47249;PepsiCo;Pepsi Zero Sugar Cola 2 Liter Plastic Bottle
rule14_branded_negligible;usda;47271;Mondelez Int. US (0074819091009);Stride Gum Fearless Fruit 1x14 Pc
rule14_branded_negligible;usda;47303;Mondelez Int. US (0074819091009);Stride Gum Spearmint Sugar Free1x14 Pc
rule14_branded_negligible;usda;47362;Mondelez Int. US (0074819091009);Trident Gum Original Sugar Free1x8 Pk
rule14_branded_negligible;usda;47393;Mondelez Int. US (0074819091009);Trident Gum Splashing Mint Sugar Free1x18 Pc
rule14_branded_negligible;usda;47447;Mondelez Int. US (0074819091009);Trident Gum Original Sugar Free1x3 Pk
rule14_branded_negligible;usda;47460;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x15 Pk
rule14_branded_negligible;usda;47478;PepsiCo;Pepsi Caffeine Free Diet Cola 16.9 Fluid Ounce/ 6 Pack Plastic Bottles
rule14_branded_negligible;usda;47485;Mondelez Int. US (0074819091009);Trident Gum Splashing Mint Sugar Free1x14 Pc
rule14_branded_negligible;usda;47486;Mondelez Int. US (0074819091009);Trident Gum Mint Bliss 1x18 Pc
rule14_branded_negligible;usda;47529;Mondelez Int. US (0074819091009);Stride Sour Patch Kids Gum Sour Patch Kids Lime1x3.000 Pk
rule14_branded_negligible;usda;47551;Mondelez Int. US (0074819091009);Trident Gum Bubblegum Sugar Free20x144 1n
rule14_branded_negligible;usda;47555;Mondelez Int. US (0074819091009);Trident Gum Peppermint Sugar Free1x3 Pk
rule14_branded_negligible;usda;47595;Mondelez Int. US (0074819091009);Stride Sour Patch Kids Gum Orange 1x14 Pc
rule14_branded_negligible;usda;47605;PepsiCo;Mtn Dew Code Diet Red Cherry Soda 12 Fluid Ounce Aluminum Can
rule14_branded_negligible;usda;47628;Mondelez Int. US (0074819091009);Trident Gum Bubblegum 1x50 Pc
rule14_branded_negligible;usda;47633;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x40 Pc
rule14_branded_negligible;usda;47646;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x50 Pc
rule14_branded_negligible;usda;47657;Qtg;Propel Peach Flavored Water Beverage 24 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;47698;Mondelez Int. US (0074819091009);Stride Gum Spearmint Sugar Free1x14 Pc
rule14_branded_negligible;usda;47741;Mondelez Int. US (0074819091009);Trident Gum Black Raspberry Twist Sugar Free1x3 Pk
rule14_branded_negligible;usda;47781;Mondelez Int. US (0074819091009);Trident Gum Passionberry Twist Sugar Free1x14 Pc
rule14_branded_negligible;usda;47782;PepsiCo;Diet Pepsi Cola Caffeine Free 12 Fluid Ounce Aluminum Can
rule14_branded_negligible;usda;47792;Mondelez Int. US (0074819091009);Trident Gum Spearmint Winter Sugar Free1x36.000 Pc
rule14_branded_negligible;usda;47818;Mondelez Int. US (0074819091009);Trident Layers Gum Watermelon And Tropical Fruit 1x14 Pc
rule14_branded_negligible;usda;47831;Mondelez Int. US (0074819091009);Trident Gum Original Sugar Free1x14 Pc
rule14_branded_negligible;usda;47833;Mondelez Int. US (0074819091009);Trident Gum Tropical Twist Sugar Free1x3 Pk
rule14_branded_negligible;usda;47842;Mondelez Int. US (0074819091009);Trident Gum Mint Bliss 1x14.000 Pk
rule14_branded_negligible;usda;47845;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x50 Pc
rule14_branded_negligible;usda;47877;PepsiCo;Diet Pepsi Caffeine Free Cola (6 - 24 Fluid Ounce) 144 Fluid Ounce 6 Pack Plastic Bottle
rule14_branded_negligible;usda;47898;PepsiCo;Pepsi Zero Sugar Cola 24 Fl Oz Pet Bottle6 Pack
rule14_branded_negligible;usda;47914;Qtg;Propel Lemon Flavored Water Beverage 24 Fluid Ounce Plastic Bottle
rule14_branded_negligible;usda;47918;Mondelez Int. US (0074819091009);Trident Gum Spearmint 1x30.000 Pc
rule14_branded_negligible;usda;47953;Mondelez Int. US (0074819091009);Stride Gum Sweet Peppermint Sugar Free1x14 Pc
rule14_branded_negligible;usda;47957;PepsiCo;Diet Pepsi Cola 8 Fluid Ounce Aluminum Can
